,season,matchday,date,team,result,points,rank,win_streak,lose_streak,draw_streak
7518,19,34,2020-07-06,Sevilla,3,60,4,2,0,0
7519,19,34,2020-07-06,Eibar,0,35,15,0,2,0
7516,19,34,2020-07-06,Levante,1,43,12,0,0,2
7517,19,34,2020-07-06,Real Sociedad,1,51,7,0,0,1
7520,19,35,2020-07-07,Valencia,3,50,8,1,0,0
7522,19,35,2020-07-07,Celta Vigo,1,36,15,0,0,2
7523,19,35,2020-07-07,Atlético Madrid,1,63,3,0,0,1
7521,19,35,2020-07-07,Valladolid,0,39,14,0,1,0
7528,19,35,2020-07-08,Barcelona,3,76,2,2,0,0
7526,19,35,2020-07-08,Getafe,0,53,6,0,1,0
7527,19,35,2020-07-08,Villarreal,3,57,5,1,0,0
7525,19,35,2020-07-08,Osasuna,0,45,11,0,1,0
7529,19,35,2020-07-08,Espanyol,0,24,20,0,6,0
7524,19,35,2020-07-08,Real Betis,3,41,13,1,0,0
7535,19,35,2020-07-09,Sevilla,3,63,3,3,0,0
7532,19,35,2020-07-09,Eibar,1,36,15,0,0,1
7531,19,35,2020-07-09,Levante,0,43,12,0,1,0
7533,19,35,2020-07-09,Leganés,1,29,19,0,0,1
7534,19,35,2020-07-09,Athletic Club,0,48,10,0,2,0
7530,19,35,2020-07-09,Mallorca,3,32,18,1,0,0
7537,19,35,2020-07-10,Granada,3,50,8,1,0,0
7538,19,35,2020-07-10,Real Madrid,3,80,1,8,0,0
7539,19,35,2020-07-10,Alavés,0,35,17,0,6,0
7536,19,35,2020-07-10,Real Sociedad,0,51,7,0,1,0
7543,19,36,2020-07-11,Barcelona,3,79,2,3,0,0
7540,19,36,2020-07-11,Osasuna,3,48,11,1,0,0
7541,19,36,2020-07-11,Celta Vigo,0,36,16,0,1,0
7544,19,36,2020-07-11,Atlético Madrid,3,66,3,1,0,0
7545,19,36,2020-07-11,Real Betis,0,41,13,0,1,0
7542,19,36,2020-07-11,Valladolid,0,39,14,0,2,0
7552,19,36,2020-07-12,Sevilla,3,66,3,4,0,0
7551,19,36,2020-07-12,Valencia,0,50,9,0,1,0
7547,19,36,2020-07-12,Eibar,3,39,14,1,0,0
7548,19,36,2020-07-12,Levante,0,43,12,0,2,0
7550,19,36,2020-07-12,Leganés,3,32,18,1,0,0
7546,19,36,2020-07-12,Espanyol,0,24,20,0,7,0
7549,19,36,2020-07-12,Athletic Club,3,51,8,1,0,0
7553,19,36,2020-07-12,Mallorca,0,32,18,0,1,0
7558,19,36,2020-07-13,Granada,0,50,9,0,1,0
7555,19,36,2020-07-13,Getafe,1,54,6,0,0,1
7556,19,36,2020-07-13,Villarreal,0,57,5,0,1,0
7559,19,36,2020-07-13,Real Madrid,3,83,1,9,0,0
7554,19,36,2020-07-13,Alavés,1,36,16,0,0,1
7557,19,36,2020-07-13,Real Sociedad,3,54,6,1,0,0
7569,19,37,2020-07-16,Granada,3,53,8,1,0,0
7567,19,37,2020-07-16,Sevilla,1,67,4,0,0,1
7564,19,37,2020-07-16,Valencia,3,53,8,1,0,0
7574,19,37,2020-07-16,Barcelona,0,79,2,0,1,0
7560,19,37,2020-07-16,Eibar,3,42,13,2,0,0
7563,19,37,2020-07-16,Levante,3,46,12,1,0,0
7570,19,37,2020-07-16,Getafe,0,54,7,0,1,0
7577,19,37,2020-07-16,Villarreal,0,57,5,0,2,0
7576,19,37,2020-07-16,Real Madrid,3,86,1,10,0,0
7575,19,37,2020-07-16,Osasuna,3,51,10,2,0,0
7573,19,37,2020-07-16,Leganés,3,35,18,2,0,0
7579,19,37,2020-07-16,Alavés,3,39,15,1,0,0
7562,19,37,2020-07-16,Celta Vigo,0,36,17,0,2,0
7566,19,37,2020-07-16,Real Sociedad,1,55,6,0,0,1
7571,19,37,2020-07-16,Atlético Madrid,3,69,3,2,0,0
7565,19,37,2020-07-16,Espanyol,0,24,20,0,8,0
7572,19,37,2020-07-16,Athletic Club,0,51,10,0,1,0
7578,19,37,2020-07-16,Real Betis,0,41,14,0,2,0
7561,19,37,2020-07-16,Valladolid,0,39,15,0,3,0
7568,19,37,2020-07-16,Mallorca,0,32,19,0,2,0
7592,19,38,2020-07-19,Granada,3,56,6,2,0,0
7586,19,38,2020-07-19,Sevilla,3,70,3,1,0,0
7587,19,38,2020-07-19,Valencia,0,53,9,0,1,0
7581,19,38,2020-07-19,Barcelona,3,82,2,1,0,0
7585,19,38,2020-07-19,Eibar,0,42,13,0,1,0
7590,19,38,2020-07-19,Levante,3,49,12,2,0,0
7591,19,38,2020-07-19,Getafe,0,54,8,0,2,0
7584,19,38,2020-07-19,Villarreal,3,60,5,1,0,0
7595,19,38,2020-07-19,Real Madrid,1,87,1,0,0,1
7596,19,38,2020-07-19,Osasuna,1,52,10,0,0,1
7594,19,38,2020-07-19,Leganés,1,36,18,0,0,1
7580,19,38,2020-07-19,Alavés,0,39,16,0,1,0
7599,19,38,2020-07-19,Celta Vigo,1,37,17,0,0,1
7589,19,38,2020-07-19,Real Sociedad,1,56,6,0,0,2
7588,19,38,2020-07-19,Atlético Madrid,1,70,3,0,0,1
7598,19,38,2020-07-19,Espanyol,1,25,20,0,0,1
7593,19,38,2020-07-19,Athletic Club,0,51,11,0,2,0
7583,19,38,2020-07-19,Real Betis,0,41,15,0,3,0
7582,19,38,2020-07-19,Valladolid,3,42,13,1,0,0
7597,19,38,2020-07-19,Mallorca,1,33,19,0,0,1
7602,20,1,2020-09-12,Granada,3,3,7,3,0,0
7600,20,1,2020-09-12,Eibar,1,1,11,0,0,1
7605,20,1,2020-09-12,Osasuna,3,3,7,1,0,0
7601,20,1,2020-09-12,Celta Vigo,1,1,11,0,0,2
7603,20,1,2020-09-12,Athletic Club,0,0,17,0,3,0
7604,20,1,2020-09-12,Cádiz,0,0,17,0,1,0
7612,20,1,2020-09-13,Valencia,3,3,7,1,0,0
7613,20,1,2020-09-13,Levante,0,0,17,0,1,0
7610,20,1,2020-09-13,Villarreal,1,1,11,0,0,1
7606,20,1,2020-09-13,Alavés,0,0,17,0,2,0
7609,20,1,2020-09-13,Real Sociedad,1,1,11,0,0,3
7607,20,1,2020-09-13,Real Betis,3,3,7,1,0,0
7608,20,1,2020-09-13,Valladolid,1,1,11,0,0,1
7611,20,1,2020-09-13,Huesca,1,1,11,0,0,1
7953,20,1,2021-01-12,Sevilla,0,30,4,0,1,0
7952,20,1,2021-01-12,Atlético Madrid,3,41,3,5,0,0
8031,20,1,2021-02-09,Getafe,0,24,5,0,2,0
8030,20,1,2021-02-09,Real Madrid,3,46,2,2,0,0
8074,20,1,2021-02-24,Barcelona,3,50,1,1,0,0
8075,20,1,2021-02-24,Elche,0,21,6,0,1,0
7619,20,2,2020-09-19,Valencia,0,3,11,0,1,0
7615,20,2,2020-09-19,Eibar,0,1,16,0,1,0
7616,20,2,2020-09-19,Getafe,3,3,11,1,0,0
7614,20,2,2020-09-19,Villarreal,3,4,9,1,0,0
7617,20,2,2020-09-19,Osasuna,0,3,11,0,1,0
7618,20,2,2020-09-19,Celta Vigo,3,4,9,1,0,0
7622,20,2,2020-09-20,Granada,3,6,7,4,0,0
7627,20,2,2020-09-20,Real Madrid,1,1,16,0,0,2
7623,20,2,2020-09-20,Alavés,0,0,20,0,3,0
7626,20,2,2020-09-20,Real Sociedad,1,2,15,0,0,4
7624,20,2,2020-09-20,Real Betis,3,6,7,2,0,0
7625,20,2,2020-09-20,Valladolid,0,1,16,0,1,0
7620,20,2,2020-09-20,Huesca,0,1,16,0,1,0
7621,20,2,2020-09-20,Cádiz,3,3,11,1,0,0
7931,20,2,2021-01-06,Barcelona,3,31,3,2,0,0
7930,20,2,2021-01-06,Athletic Club,0,21,6,0,1,0
8052,20,2,2021-02-17,Levante,1,28,4,0,0,1
8053,20,2,2021-02-17,Atlético Madrid,1,55,1,0,0,1
8138,20,2,2021-03-17,Sevilla,3,54,2,2,0,0
8139,20,2,2021-03-17,Elche,0,24,5,0,2,0
7630,20,3,2020-09-26,Valencia,1,4,5,0,0,1
7632,20,3,2020-09-26,Elche,0,0,20,0,1,0
7629,20,3,2020-09-26,Getafe,1,4,5,0,0,1
7635,20,3,2020-09-26,Real Madrid,3,4,5,1,0,0
7628,20,3,2020-09-26,Alavés,1,1,18,0,0,1
7633,20,3,2020-09-26,Real Sociedad,3,5,3,1,0,0
7634,20,3,2020-09-26,Real Betis,0,6,1,0,1,0
7631,20,3,2020-09-26,Huesca,1,2,16,0,0,1
7641,20,3,2020-09-27,Granada,0,6,1,0,1,0
7645,20,3,2020-09-27,Sevilla,3,3,9,2,0,0
7646,20,3,2020-09-27,Barcelona,3,3,9,2,0,0
7638,20,3,2020-09-27,Eibar,0,1,18,0,2,0
7637,20,3,2020-09-27,Levante,3,3,9,1,0,0
7647,20,3,2020-09-27,Villarreal,0,4,5,0,1,0
7636,20,3,2020-09-27,Osasuna,0,3,9,0,2,0
7643,20,3,2020-09-27,Celta Vigo,1,5,3,0,0,1
7640,20,3,2020-09-27,Atlético Madrid,3,3,9,1,0,0
7639,20,3,2020-09-27,Athletic Club,3,3,9,1,0,0
7642,20,3,2020-09-27,Valladolid,1,2,16,0,0,1
7644,20,3,2020-09-27,Cádiz,0,3,9,0,1,0
7649,20,4,2020-09-29,Valencia,3,7,3,1,0,0
7650,20,4,2020-09-29,Getafe,3,7,3,1,0,0
7648,20,4,2020-09-29,Real Sociedad,0,5,11,0,1,0
7651,20,4,2020-09-29,Real Betis,0,6,7,0,2,0
7656,20,4,2020-09-30,Eibar,0,1,19,0,3,0
7657,20,4,2020-09-30,Elche,3,3,14,1,0,0
7652,20,4,2020-09-30,Villarreal,3,7,3,1,0,0
7658,20,4,2020-09-30,Real Madrid,3,7,3,2,0,0
7653,20,4,2020-09-30,Alavés,0,1,19,0,1,0
7655,20,4,2020-09-30,Atlético Madrid,1,4,13,0,0,1
7659,20,4,2020-09-30,Valladolid,0,2,18,0,1,0
7654,20,4,2020-09-30,Huesca,1,3,14,0,0,2
7660,20,4,2020-10-01,Sevilla,3,6,7,3,0,0
7665,20,4,2020-10-01,Barcelona,3,6,7,3,0,0
7661,20,4,2020-10-01,Levante,0,3,14,0,1,0
7664,20,4,2020-10-01,Celta Vigo,0,5,11,0,1,0
7662,20,4,2020-10-01,Athletic Club,0,3,14,0,1,0
7663,20,4,2020-10-01,Cádiz,3,6,7,1,0,0
7950,20,4,2021-01-12,Granada,3,27,1,1,0,0
7951,20,4,2021-01-12,Osasuna,0,15,2,0,1,0
7674,20,5,2020-10-03,Valencia,0,7,5,0,1,0
7667,20,5,2020-10-03,Eibar,3,4,14,1,0,0
7672,20,5,2020-10-03,Elche,1,4,14,0,0,1
7671,20,5,2020-10-03,Getafe,0,7,5,0,1,0
7669,20,5,2020-10-03,Villarreal,1,8,3,0,0,1
7670,20,5,2020-10-03,Real Sociedad,3,8,3,1,0,0
7668,20,5,2020-10-03,Atlético Madrid,1,5,12,0,0,2
7675,20,5,2020-10-03,Real Betis,3,9,2,1,0,0
7666,20,5,2020-10-03,Valladolid,0,2,20,0,2,0
7673,20,5,2020-10-03,Huesca,1,4,14,0,0,3
7683,20,5,2020-10-04,Granada,1,7,5,0,0,1
7685,20,5,2020-10-04,Sevilla,1,7,5,0,0,1
7684,20,5,2020-10-04,Barcelona,1,7,5,0,0,1
7680,20,5,2020-10-04,Levante,0,3,18,0,2,0
7681,20,5,2020-10-04,Real Madrid,3,10,1,3,0,0
7676,20,5,2020-10-04,Osasuna,3,6,11,1,0,0
7678,20,5,2020-10-04,Alavés,3,4,14,1,0,0
7677,20,5,2020-10-04,Celta Vigo,0,5,12,0,2,0
7679,20,5,2020-10-04,Athletic Club,0,3,18,0,2,0
7682,20,5,2020-10-04,Cádiz,1,7,5,0,0,1
7686,20,6,2020-10-17,Granada,3,10,3,1,0,0
7687,20,6,2020-10-17,Sevilla,0,7,9,0,1,0
7693,20,6,2020-10-17,Barcelona,0,7,9,0,1,0
7692,20,6,2020-10-17,Getafe,3,10,3,1,0,0
7690,20,6,2020-10-17,Real Madrid,0,10,3,0,1,0
7688,20,6,2020-10-17,Celta Vigo,0,5,15,0,3,0
7689,20,6,2020-10-17,Atlético Madrid,3,8,8,1,0,0
7691,20,6,2020-10-17,Cádiz,3,10,3,1,0,0
7699,20,6,2020-10-18,Valencia,0,7,9,0,2,0
7694,20,6,2020-10-18,Eibar,1,5,15,0,0,1
7697,20,6,2020-10-18,Levante,0,3,19,0,3,0
7703,20,6,2020-10-18,Elche,3,7,9,1,0,0
7698,20,6,2020-10-18,Villarreal,3,11,1,1,0,0
7695,20,6,2020-10-18,Osasuna,1,7,9,0,0,1
7702,20,6,2020-10-18,Alavés,0,4,18,0,1,0
7705,20,6,2020-10-18,Real Sociedad,3,11,1,2,0,0
7696,20,6,2020-10-18,Athletic Club,3,6,14,1,0,0
7704,20,6,2020-10-18,Real Betis,0,9,7,0,1,0
7701,20,6,2020-10-18,Valladolid,1,3,19,0,0,1
7700,20,6,2020-10-18,Huesca,1,5,15,0,0,4
7707,20,7,2020-10-23,Valencia,0,7,12,0,3,0
7706,20,7,2020-10-23,Elche,3,10,7,2,0,0
7712,20,7,2020-10-24,Sevilla,0,7,12,0,2,0
7708,20,7,2020-10-24,Barcelona,0,7,12,0,2,0
7713,20,7,2020-10-24,Eibar,3,8,11,1,0,0
7709,20,7,2020-10-24,Real Madrid,3,13,2,1,0,0
7710,20,7,2020-10-24,Osasuna,3,10,7,1,0,0
7714,20,7,2020-10-24,Atlético Madrid,3,11,5,2,0,0
7711,20,7,2020-10-24,Athletic Club,0,6,16,0,1,0
7715,20,7,2020-10-24,Real Betis,0,9,10,0,2,0
7721,20,7,2020-10-25,Granada,3,13,2,2,0,0
7720,20,7,2020-10-25,Getafe,0,10,7,0,1,0
7719,20,7,2020-10-25,Villarreal,1,12,4,0,0,1
7717,20,7,2020-10-25,Alavés,3,7,12,1,0,0
7722,20,7,2020-10-25,Real Sociedad,3,14,1,3,0,0
7716,20,7,2020-10-25,Valladolid,0,3,20,0,1,0
7723,20,7,2020-10-25,Huesca,0,5,18,0,1,0
7718,20,7,2020-10-25,Cádiz,1,11,5,0,0,1
7724,20,7,2020-10-26,Levante,1,4,19,0,0,1
7725,20,7,2020-10-26,Celta Vigo,1,6,16,0,0,1
7726,20,8,2020-10-30,Eibar,0,8,12,0,1,0
7727,20,8,2020-10-30,Cádiz,3,14,4,1,0,0
7731,20,8,2020-10-31,Sevilla,0,7,16,0,3,0
7735,20,8,2020-10-31,Barcelona,1,8,12,0,0,1
7728,20,8,2020-10-31,Real Madrid,3,16,2,2,0,0
7732,20,8,2020-10-31,Osasuna,0,10,9,0,1,0
7734,20,8,2020-10-31,Alavés,1,8,12,0,0,1
7733,20,8,2020-10-31,Atlético Madrid,3,14,4,3,0,0
7730,20,8,2020-10-31,Athletic Club,3,9,11,1,0,0
7729,20,8,2020-10-31,Huesca,0,5,18,0,2,0
7740,20,8,2020-11-01,Granada,1,14,4,0,0,1
7742,20,8,2020-11-01,Valencia,1,8,12,0,0,1
7741,20,8,2020-11-01,Levante,1,5,18,0,0,2
7737,20,8,2020-11-01,Elche,0,10,9,0,1,0
7743,20,8,2020-11-01,Getafe,1,11,8,0,0,1
7738,20,8,2020-11-01,Celta Vigo,0,6,17,0,1,0
7739,20,8,2020-11-01,Real Sociedad,3,17,1,4,0,0
7736,20,8,2020-11-01,Real Betis,3,12,7,1,0,0
7744,20,8,2020-11-02,Villarreal,3,15,3,1,0,0
7745,20,8,2020-11-02,Valladolid,0,3,20,0,2,0
7746,20,9,2020-11-06,Elche,1,11,8,0,0,1
7747,20,9,2020-11-06,Celta Vigo,1,7,17,0,0,1
7752,20,9,2020-11-07,Sevilla,3,10,12,1,0,0
7750,20,9,2020-11-07,Barcelona,3,11,8,1,0,0
7749,20,9,2020-11-07,Eibar,1,9,14,0,0,1
7753,20,9,2020-11-07,Osasuna,0,10,12,0,2,0
7754,20,9,2020-11-07,Atlético Madrid,3,17,3,4,0,0
7751,20,9,2020-11-07,Real Betis,0,12,7,0,1,0
7748,20,9,2020-11-07,Huesca,1,6,18,0,0,1
7755,20,9,2020-11-07,Cádiz,0,14,5,0,1,0
7759,20,9,2020-11-08,Granada,0,14,5,0,1,0
7764,20,9,2020-11-08,Valencia,3,11,8,1,0,0
7762,20,9,2020-11-08,Levante,1,6,18,0,0,3
7756,20,9,2020-11-08,Getafe,0,11,8,0,1,0
7757,20,9,2020-11-08,Villarreal,3,18,2,2,0,0
7765,20,9,2020-11-08,Real Madrid,0,16,4,0,1,0
7763,20,9,2020-11-08,Alavés,1,9,14,0,0,2
7758,20,9,2020-11-08,Real Sociedad,3,20,1,5,0,0
7761,20,9,2020-11-08,Athletic Club,0,9,14,0,1,0
7760,20,9,2020-11-08,Valladolid,3,6,18,1,0,0
7766,20,10,2020-11-20,Osasuna,1,11,13,0,0,1
7767,20,10,2020-11-20,Huesca,1,7,18,0,0,2
7772,20,10,2020-11-21,Sevilla,3,13,7,2,0,0
7775,20,10,2020-11-21,Barcelona,0,11,13,0,1,0
7768,20,10,2020-11-21,Levante,1,7,18,0,0,4
7769,20,10,2020-11-21,Elche,1,12,8,0,0,2
7770,20,10,2020-11-21,Villarreal,1,19,3,0,0,1
7771,20,10,2020-11-21,Real Madrid,1,17,4,0,0,1
7773,20,10,2020-11-21,Celta Vigo,0,7,18,0,1,0
7774,20,10,2020-11-21,Atlético Madrid,3,20,2,5,0,0
7780,20,10,2020-11-22,Granada,0,14,5,0,2,0
7783,20,10,2020-11-22,Valencia,1,12,8,0,0,1
7776,20,10,2020-11-22,Eibar,1,10,15,0,0,2
7777,20,10,2020-11-22,Getafe,1,12,8,0,0,1
7782,20,10,2020-11-22,Alavés,1,10,15,0,0,3
7779,20,10,2020-11-22,Real Sociedad,3,23,1,6,0,0
7781,20,10,2020-11-22,Valladolid,3,9,17,2,0,0
7778,20,10,2020-11-22,Cádiz,0,14,5,0,2,0
7784,20,10,2020-11-23,Athletic Club,3,12,8,1,0,0
7785,20,10,2020-11-23,Real Betis,0,12,8,0,2,0
7787,20,11,2020-11-27,Levante,1,8,19,0,0,5
7786,20,11,2020-11-27,Valladolid,1,10,17,0,0,1
7793,20,11,2020-11-28,Sevilla,3,16,5,3,0,0
7790,20,11,2020-11-28,Valencia,0,12,14,0,1,0
7788,20,11,2020-11-28,Elche,1,13,9,0,0,3
7794,20,11,2020-11-28,Real Madrid,0,17,4,0,1,0
7795,20,11,2020-11-28,Alavés,3,13,9,1,0,0
7791,20,11,2020-11-28,Atlético Madrid,3,23,2,6,0,0
7792,20,11,2020-11-28,Huesca,0,7,20,0,1,0
7789,20,11,2020-11-28,Cádiz,1,15,6,0,0,1
7801,20,11,2020-11-29,Granada,0,14,7,0,3,0
7796,20,11,2020-11-29,Barcelona,3,14,7,1,0,0
7798,20,11,2020-11-29,Getafe,1,13,9,0,0,2
7803,20,11,2020-11-29,Villarreal,1,20,3,0,0,2
7797,20,11,2020-11-29,Osasuna,0,11,16,0,1,0
7800,20,11,2020-11-29,Celta Vigo,3,10,17,1,0,0
7802,20,11,2020-11-29,Real Sociedad,1,24,1,0,0,1
7799,20,11,2020-11-29,Athletic Club,1,13,9,0,0,1
7805,20,11,2020-11-30,Eibar,3,13,9,1,0,0
7804,20,11,2020-11-30,Real Betis,0,12,14,0,3,0
7807,20,12,2020-12-04,Celta Vigo,3,13,13,2,0,0
7806,20,12,2020-12-04,Athletic Club,0,13,13,0,1,0
7810,20,12,2020-12-05,Sevilla,0,16,6,0,1,0
7815,20,12,2020-12-05,Barcelona,0,14,9,0,1,0
7808,20,12,2020-12-05,Levante,3,11,17,1,0,0
7809,20,12,2020-12-05,Getafe,0,13,13,0,1,0
7811,20,12,2020-12-05,Real Madrid,3,20,4,1,0,0
7812,20,12,2020-12-05,Atlético Madrid,3,26,1,7,0,0
7813,20,12,2020-12-05,Valladolid,0,10,19,0,1,0
7814,20,12,2020-12-05,Cádiz,3,18,5,1,0,0
7816,20,12,2020-12-06,Granada,1,15,7,0,0,1
7821,20,12,2020-12-06,Elche,1,14,9,0,0,4
7820,20,12,2020-12-06,Villarreal,1,21,3,0,0,3
7818,20,12,2020-12-06,Osasuna,0,11,17,0,2,0
7822,20,12,2020-12-06,Alavés,1,14,9,0,0,1
7823,20,12,2020-12-06,Real Sociedad,1,25,2,0,0,2
7819,20,12,2020-12-06,Real Betis,3,15,7,1,0,0
7817,20,12,2020-12-06,Huesca,1,8,20,0,0,1
7825,20,12,2020-12-07,Valencia,1,13,13,0,0,1
7824,20,12,2020-12-07,Eibar,1,14,9,0,0,1
7827,20,13,2020-12-11,Osasuna,0,11,18,0,3,0
7826,20,13,2020-12-11,Valladolid,3,13,16,1,0,0
7831,20,13,2020-12-12,Sevilla,3,19,5,1,0,0
7828,20,13,2020-12-12,Valencia,1,14,12,0,0,2
7830,20,13,2020-12-12,Getafe,0,13,16,0,2,0
7834,20,13,2020-12-12,Real Madrid,3,23,3,2,0,0
7833,20,13,2020-12-12,Alavés,0,14,12,0,1,0
7835,20,13,2020-12-12,Atlético Madrid,0,26,1,0,1,0
7829,20,13,2020-12-12,Athletic Club,1,14,12,0,0,1
7832,20,13,2020-12-12,Huesca,3,11,18,1,0,0
7841,20,13,2020-12-13,Granada,3,18,6,1,0,0
7842,20,13,2020-12-13,Barcelona,3,17,8,1,0,0
7837,20,13,2020-12-13,Eibar,1,15,11,0,0,2
7843,20,13,2020-12-13,Levante,0,11,18,0,1,0
7840,20,13,2020-12-13,Elche,0,14,12,0,1,0
7839,20,13,2020-12-13,Villarreal,1,22,4,0,0,4
7836,20,13,2020-12-13,Real Sociedad,1,26,1,0,0,3
7838,20,13,2020-12-13,Real Betis,1,16,9,0,0,1
7844,20,13,2020-12-14,Celta Vigo,3,16,9,3,0,0
7845,20,13,2020-12-14,Cádiz,0,18,6,0,1,0
7850,20,14,2020-12-18,Athletic Club,3,17,10,1,0,0
7851,20,14,2020-12-18,Huesca,0,11,19,0,1,0
7860,20,14,2020-12-19,Sevilla,1,20,7,0,0,1
7855,20,14,2020-12-19,Valencia,1,15,13,0,0,3
7854,20,14,2020-12-19,Barcelona,1,21,5,0,0,1
7858,20,14,2020-12-19,Levante,3,14,15,1,0,0
7853,20,14,2020-12-19,Elche,0,14,15,0,2,0
7857,20,14,2020-12-19,Villarreal,3,25,4,1,0,0
7856,20,14,2020-12-19,Osasuna,0,11,19,0,4,0
7859,20,14,2020-12-19,Real Sociedad,0,26,3,0,2,0
7852,20,14,2020-12-19,Atlético Madrid,3,29,1,1,0,0
7861,20,14,2020-12-19,Valladolid,1,14,15,0,0,1
7864,20,14,2020-12-20,Granada,3,21,5,2,0,0
7868,20,14,2020-12-20,Eibar,0,15,13,0,1,0
7867,20,14,2020-12-20,Getafe,3,16,11,1,0,0
7869,20,14,2020-12-20,Real Madrid,3,29,1,4,0,0
7863,20,14,2020-12-20,Alavés,0,14,15,0,2,0
7862,20,14,2020-12-20,Celta Vigo,3,19,8,4,0,0
7865,20,14,2020-12-20,Real Betis,0,16,11,0,1,0
7866,20,14,2020-12-20,Cádiz,0,18,9,0,2,0
7871,20,15,2020-12-22,Sevilla,3,23,6,1,0,0
7870,20,15,2020-12-22,Valencia,0,15,14,0,1,0
7879,20,15,2020-12-22,Barcelona,3,24,5,1,0,0
7875,20,15,2020-12-22,Levante,1,15,14,0,0,1
7872,20,15,2020-12-22,Elche,1,15,14,0,0,1
7880,20,15,2020-12-22,Villarreal,1,26,3,0,0,1
7873,20,15,2020-12-22,Osasuna,1,12,19,0,0,1
7876,20,15,2020-12-22,Real Sociedad,0,26,3,0,3,0
7877,20,15,2020-12-22,Atlético Madrid,3,32,1,2,0,0
7881,20,15,2020-12-22,Athletic Club,1,18,10,0,0,1
7878,20,15,2020-12-22,Valladolid,0,14,18,0,1,0
7874,20,15,2020-12-22,Huesca,1,12,19,0,0,1
7885,20,15,2020-12-23,Granada,0,21,7,0,1,0
7887,20,15,2020-12-23,Eibar,0,15,14,0,2,0
7882,20,15,2020-12-23,Getafe,1,17,12,0,0,1
7884,20,15,2020-12-23,Real Madrid,3,32,1,5,0,0
7886,20,15,2020-12-23,Alavés,3,17,12,1,0,0
7883,20,15,2020-12-23,Celta Vigo,1,20,8,0,0,1
7888,20,15,2020-12-23,Real Betis,3,19,9,1,0,0
7889,20,15,2020-12-23,Cádiz,0,18,10,0,3,0
7890,20,16,2020-12-29,Sevilla,3,26,4,2,0,0
7892,20,16,2020-12-29,Barcelona,1,25,6,0,0,1
7893,20,16,2020-12-29,Eibar,1,16,15,0,0,1
7896,20,16,2020-12-29,Levante,3,18,11,1,0,0
7891,20,16,2020-12-29,Villarreal,0,26,4,0,1,0
7897,20,16,2020-12-29,Real Betis,0,19,9,0,1,0
7895,20,16,2020-12-29,Valladolid,1,15,17,0,0,1
7894,20,16,2020-12-29,Cádiz,1,19,9,0,0,1
7898,20,16,2020-12-30,Granada,3,24,7,1,0,0
7899,20,16,2020-12-30,Valencia,0,15,17,0,2,0
7904,20,16,2020-12-30,Elche,1,16,15,0,0,2
7903,20,16,2020-12-30,Getafe,0,17,14,0,1,0
7905,20,16,2020-12-30,Real Madrid,1,33,2,0,0,1
7900,20,16,2020-12-30,Celta Vigo,3,23,8,1,0,0
7902,20,16,2020-12-30,Atlético Madrid,3,35,1,3,0,0
7901,20,16,2020-12-30,Huesca,0,12,20,0,1,0
7908,20,16,2020-12-31,Osasuna,1,13,19,0,0,2
7909,20,16,2020-12-31,Alavés,1,18,11,0,0,1
7907,20,16,2020-12-31,Real Sociedad,3,29,3,1,0,0
7906,20,16,2020-12-31,Athletic Club,0,18,11,0,1,0
7913,20,17,2021-01-02,Sevilla,1,27,6,0,0,1
7911,20,17,2021-01-02,Levante,0,18,13,0,1,0
7914,20,17,2021-01-02,Getafe,0,17,16,0,2,0
7910,20,17,2021-01-02,Villarreal,3,29,4,1,0,0
7916,20,17,2021-01-02,Real Madrid,3,36,2,1,0,0
7917,20,17,2021-01-02,Celta Vigo,0,23,8,0,1,0
7912,20,17,2021-01-02,Real Betis,1,20,10,0,0,1
7915,20,17,2021-01-02,Valladolid,3,18,13,1,0,0
7923,20,17,2021-01-03,Granada,0,24,7,0,1,0
7927,20,17,2021-01-03,Barcelona,3,28,5,1,0,0
7922,20,17,2021-01-03,Eibar,3,19,12,1,0,0
7919,20,17,2021-01-03,Elche,0,16,17,0,1,0
7925,20,17,2021-01-03,Osasuna,1,14,19,0,0,3
7920,20,17,2021-01-03,Alavés,0,18,13,0,1,0
7924,20,17,2021-01-03,Real Sociedad,1,30,3,0,0,1
7921,20,17,2021-01-03,Atlético Madrid,3,38,1,4,0,0
7918,20,17,2021-01-03,Athletic Club,3,21,9,1,0,0
7926,20,17,2021-01-03,Huesca,0,12,20,0,2,0
7928,20,17,2021-01-04,Valencia,1,16,17,0,0,1
7929,20,17,2021-01-04,Cádiz,1,20,10,0,0,2
7933,20,18,2021-01-08,Villarreal,3,32,5,2,0,0
7932,20,18,2021-01-08,Celta Vigo,0,23,9,0,2,0
7936,20,18,2021-01-09,Granada,0,24,8,0,2,0
7934,20,18,2021-01-09,Sevilla,3,30,6,1,0,0
7937,20,18,2021-01-09,Barcelona,3,34,3,3,0,0
7939,20,18,2021-01-09,Real Madrid,1,37,2,0,0,1
7938,20,18,2021-01-09,Osasuna,1,15,19,0,0,4
7935,20,18,2021-01-09,Real Sociedad,0,30,6,0,1,0
7945,20,18,2021-01-10,Valencia,3,19,14,1,0,0
7941,20,18,2021-01-10,Eibar,0,19,14,0,1,0
7940,20,18,2021-01-10,Levante,3,21,12,1,0,0
7943,20,18,2021-01-10,Alavés,0,18,16,0,2,0
7944,20,18,2021-01-10,Valladolid,0,18,16,0,1,0
