,date,home_team,home_goals_offense,home_goals_defense,home_offense,home_in_game,home_defense,away_team,away_goals_offense,away_goals_defense,away_offense,away_in_game,away_defense,result
108,2010-11-14,Valencia,1.18,1.1,0.6,0.48,0.46,Getafe,1.11,1.8,0.57,0.49,0.41,1.0
109,2010-11-14,Zaragoza,1.19,1.8,0.55,0.39,0.5,Sevilla,1.45,1.8,0.63,0.51,0.47,0.0
110,2010-11-20,Almeria,0.57,2.0,0.46,0.6,0.35,Barcelona,3.53,0.5,0.9,0.67,0.64,0.0
111,2010-11-20,Real Madrid,3.21,0.6,0.8,0.64,0.66,Ath Bilbao,1.72,2.3,0.6,0.47,0.36,1.0
112,2010-11-20,Villarreal,1.88,1.2,0.57,0.53,0.55,Valencia,1.18,1.1,0.56,0.44,0.44,0.5
113,2010-11-21,Espanol,1.03,0.7,0.6,0.46,0.59,Hercules,0.85,2.0,0.46,0.51,0.29,1.0
114,2010-11-21,La Coruna,1.31,1.2,0.52,0.63,0.46,Malaga,0.69,1.8,0.48,0.53,0.29,1.0
115,2010-11-21,Levante,1.15,1.3,0.47,0.53,0.34,Santander,0.99,1.7,0.59,0.51,0.45,1.0
116,2010-11-21,Osasuna,1.33,1.2,0.48,0.49,0.5,Sp Gijon,0.63,1.4,0.46,0.48,0.49,1.0
117,2010-11-21,Sevilla,1.61,1.8,0.59,0.53,0.44,Mallorca,1.39,1.2,0.47,0.6,0.44,0.0
118,2010-11-21,Sociedad,1.45,1.6,0.5,0.64,0.33,Ath Madrid,1.55,1.3,0.6,0.51,0.34,0.0
119,2010-11-22,Getafe,1.03,1.6,0.6,0.49,0.43,Zaragoza,1.07,1.5,0.53,0.38,0.5,0.5
120,2010-11-27,Ath Madrid,1.8,1.5,0.61,0.51,0.33,Espanol,1.28,1.0,0.6,0.45,0.52,0.0
121,2010-11-27,Sevilla,1.33,2.1,0.61,0.54,0.43,Getafe,1.15,1.6,0.62,0.51,0.43,0.0
122,2010-11-27,Zaragoza,0.97,1.7,0.51,0.37,0.47,Villarreal,1.97,1.1,0.59,0.55,0.56,0.0
123,2010-11-28,Ath Bilbao,1.54,1.8,0.6,0.48,0.41,Osasuna,1.05,1.3,0.47,0.5,0.49,1.0
124,2010-11-28,Hercules,1.19,1.8,0.51,0.52,0.32,Levante,1.15,1.5,0.45,0.53,0.3,1.0
125,2010-11-28,Mallorca,1.39,1.0,0.47,0.6,0.45,Malaga,0.63,1.8,0.48,0.54,0.3,1.0
126,2010-11-28,Santander,0.97,1.3,0.59,0.53,0.51,La Coruna,1.12,1.0,0.46,0.64,0.45,1.0
